Date,Avg_Player,Final_Price,Base_Price,Discount_%,Is_Sale,Is_Weekend,Is_Holiday,Days_Since_Release
2022-08-24,33021.0,59.99,59.99,0.0,0,0,0,181
2022-08-25,32699.0,59.99,59.99,0.0,0,0,0,182
2022-08-26,34801.0,59.99,59.99,0.0,0,0,0,183
2022-08-27,41241.0,59.99,59.99,0.0,0,1,0,184
2022-08-28,43177.0,59.99,59.99,0.0,0,1,0,185
2022-08-29,34150.0,59.99,59.99,0.0,0,0,0,186
2022-08-30,33560.0,59.99,59.99,0.0,0,0,0,187
2022-08-31,32808.0,59.99,59.99,0.0,0,0,0,188
2022-09-01,32101.0,59.99,59.99,0.0,0,0,0,189
2022-09-02,34813.0,59.99,59.99,0.0,0,0,0,190
2022-09-03,42524.0,59.99,59.99,0.0,0,1,0,191
2022-09-04,44015.0,59.99,59.99,0.0,0,1,0,192
2022-09-05,41589.0,59.99,59.99,0.0,0,0,1,193
2022-09-06,32651.0,59.99,59.99,0.0,0,0,0,194
2022-09-07,32718.0,59.99,59.99,0.0,0,0,0,195
2022-09-08,31775.0,59.99,59.99,0.0,0,0,0,196
2022-09-09,34133.0,59.99,59.99,0.0,0,0,0,197
2022-09-10,42624.0,59.99,59.99,0.0,0,1,0,198
2022-09-11,45475.0,59.99,59.99,0.0,0,1,0,199
2022-09-12,31859.0,59.99,59.99,0.0,0,0,0,200
2022-09-13,31387.0,59.99,59.99,0.0,0,0,0,201
2022-09-14,31548.0,59.99,59.99,0.0,0,0,0,202
2022-09-15,30927.0,59.99,59.99,0.0,0,0,0,203
2022-09-16,33397.0,59.99,59.99,0.0,0,0,0,204
2022-09-17,42458.0,59.99,59.99,0.0,0,1,0,205
2022-09-18,43754.0,59.99,59.99,0.0,0,1,0,206
2022-09-19,33364.0,59.99,59.99,0.0,0,0,0,207
2022-09-20,31054.0,59.99,59.99,0.0,0,0,0,208
2022-09-21,30494.0,59.99,59.99,0.0,0,0,0,209
2022-09-22,30003.0,59.99,59.99,0.0,0,0,0,210
2022-09-23,32171.0,59.99,59.99,0.0,0,0,0,211
2022-09-24,40762.0,59.99,59.99,0.0,0,1,0,212
2022-09-25,41979.0,59.99,59.99,0.0,0,1,0,213
2022-09-26,29959.0,59.99,59.99,0.0,0,0,0,214
2022-09-27,29528.0,59.99,59.99,0.0,0,0,0,215
2022-09-28,29044.0,59.99,59.99,0.0,0,0,0,216
2022-09-29,28096.0,59.99,59.99,0.0,0,0,0,217
2022-09-30,30763.0,59.99,59.99,0.0,0,0,0,218
2022-10-01,38442.0,59.99,59.99,0.0,0,1,0,219
2022-10-02,39830.0,59.99,59.99,0.0,0,1,0,220
2022-10-03,30427.0,59.99,59.99,0.0,0,0,0,221
2022-10-04,28429.0,59.99,59.99,0.0,0,0,0,222
2022-10-05,27373.0,59.99,59.99,0.0,0,0,0,223
2022-10-06,27026.0,59.99,59.99,0.0,0,0,0,224
2022-10-07,28048.0,59.99,59.99,0.0,0,0,0,225
2022-10-08,34805.0,59.99,59.99,0.0,0,1,0,226
2022-10-09,36653.0,59.99,59.99,0.0,0,1,0,227
2022-10-10,27576.0,59.99,59.99,0.0,0,0,1,228
2022-10-11,25667.0,59.99,59.99,0.0,0,0,0,229
2022-10-12,26361.0,59.99,59.99,0.0,0,0,0,230
2022-10-13,23752.0,59.99,59.99,0.0,0,0,0,231
2022-10-14,28885.0,59.99,59.99,0.0,0,0,0,232
2022-10-15,38217.0,59.99,59.99,0.0,0,1,0,233
2022-10-16,39401.0,59.99,59.99,0.0,0,1,0,234
2022-10-17,29579.0,59.99,59.99,0.0,0,0,0,235
2022-10-18,29637.0,59.99,59.99,0.0,0,0,0,236
2022-10-19,29083.0,59.99,59.99,0.0,0,0,0,237
2022-10-20,29196.0,59.99,59.99,0.0,0,0,0,238
2022-10-21,31471.0,59.99,59.99,0.0,0,0,0,239
2022-10-22,38307.0,59.99,59.99,0.0,0,1,0,240
2022-10-23,39319.0,59.99,59.99,0.0,0,1,0,241
2022-10-24,29193.0,59.99,59.99,0.0,0,0,0,242
2022-10-25,28742.0,59.99,59.99,0.0,0,0,0,243
2022-10-26,28001.0,59.99,59.99,0.0,0,0,0,244
2022-10-27,27499.0,59.99,59.99,0.0,0,0,0,245
2022-10-28,29657.0,59.99,59.99,0.0,0,0,0,246
2022-10-29,34934.0,59.99,59.99,0.0,0,1,0,247
2022-10-30,34954.0,59.99,59.99,0.0,0,1,0,248
2022-10-31,28209.0,59.99,59.99,0.0,0,0,0,249
2022-11-01,29025.0,59.99,59.99,0.0,0,0,0,250
2022-11-02,25710.0,59.99,59.99,0.0,0,0,0,251
2022-11-03,25692.0,59.99,59.99,0.0,0,0,0,252
2022-11-04,28158.0,59.99,59.99,0.0,0,0,0,253
2022-11-05,35662.0,59.99,59.99,0.0,0,1,0,254
2022-11-06,36004.0,59.99,59.99,0.0,0,1,0,255
2022-11-07,25244.0,59.99,59.99,0.0,0,0,0,256
2022-11-08,25385.0,59.99,59.99,0.0,0,0,0,257
2022-11-09,25467.0,59.99,59.99,0.0,0,0,0,258
2022-11-10,25160.0,59.99,59.99,0.0,0,0,0,259
2022-11-11,29688.0,59.99,59.99,0.0,0,0,1,260
2022-11-12,35679.0,59.99,59.99,0.0,0,1,0,261
2022-11-13,35817.0,59.99,59.99,0.0,0,1,0,262
2022-11-14,26412.0,59.99,59.99,0.0,0,0,0,263
2022-11-15,27174.0,59.99,59.99,0.0,0,0,0,264
2022-11-16,26755.0,59.99,59.99,0.0,0,0,0,265
2022-11-17,25982.0,59.99,59.99,0.0,0,0,0,266
2022-11-18,27963.0,59.99,59.99,0.0,0,0,0,267
2022-11-19,34946.0,59.99,59.99,0.0,0,1,0,268
2022-11-20,35579.0,59.99,59.99,0.0,0,1,0,269
2022-11-21,26101.0,59.99,59.99,0.0,0,0,0,270
2022-11-22,26744.0,59.99,59.99,0.0,0,0,0,271
2022-11-23,26242.0,59.99,59.99,0.0,0,0,0,272
2022-11-24,27238.0,59.99,59.99,0.0,0,0,1,273
2022-11-25,29925.0,59.99,59.99,0.0,0,0,0,274
2022-11-26,35682.0,59.99,59.99,0.0,0,1,0,275
2022-11-27,36345.0,59.99,59.99,0.0,0,1,0,276
2022-11-28,27038.0,59.99,59.99,0.0,0,0,0,277
2022-11-29,26537.0,59.99,59.99,0.0,0,0,0,278
2022-11-30,26979.0,59.99,59.99,0.0,0,0,0,279
2022-12-01,26701.0,59.99,59.99,0.0,0,0,0,280
2022-12-02,29223.0,59.99,59.99,0.0,0,0,0,281
2022-12-03,36322.0,59.99,59.99,0.0,0,1,0,282
2022-12-04,36774.0,59.99,59.99,0.0,0,1,0,283
2022-12-05,27747.0,59.99,59.99,0.0,0,0,0,284
2022-12-06,32942.0,59.99,59.99,0.0,0,0,0,285
2022-12-07,32676.0,59.99,59.99,0.0,0,0,0,286
2022-12-08,33179.0,59.99,59.99,0.0,0,0,0,287
2022-12-09,37725.0,59.99,59.99,0.0,0,0,0,288
2022-12-10,46193.0,59.99,59.99,0.0,0,1,0,289
2022-12-11,47045.0,59.99,59.99,0.0,0,1,0,290
2022-12-12,37142.0,59.99,59.99,0.0,0,0,0,291
2022-12-13,36105.0,59.99,59.99,0.0,0,0,0,292
2022-12-14,36199.0,59.99,59.99,0.0,0,0,0,293
2022-12-15,35084.0,59.99,59.99,0.0,0,0,0,294
2022-12-16,38188.0,59.99,59.99,0.0,0,0,0,295
2022-12-17,45094.0,59.99,59.99,0.0,0,1,0,296
2022-12-18,46097.0,59.99,59.99,0.0,0,1,0,297
2022-12-19,38366.0,59.99,59.99,0.0,0,0,0,298
2022-12-20,38488.0,59.99,59.99,0.0,0,0,0,299
2022-12-21,38060.0,59.99,59.99,0.0,0,0,0,300
2022-12-22,42476.0,41.99,59.99,30.005000833472245,1,0,0,301
2022-12-23,53175.0,41.99,59.99,30.005000833472245,1,0,0,302
2022-12-24,62290.0,41.99,59.99,30.005000833472245,1,1,0,303
2022-12-25,64159.0,41.99,59.99,30.005000833472245,1,1,1,304
2022-12-26,71354.0,41.99,59.99,30.005000833472245,1,0,1,305
2022-12-27,73312.0,41.99,59.99,30.005000833472245,1,0,0,306
2022-12-28,76364.0,41.99,59.99,30.005000833472245,1,0,0,307
2022-12-29,79202.0,41.99,59.99,30.005000833472245,1,0,0,308
2022-12-30,82864.0,41.99,59.99,30.005000833472245,1,0,0,309
2022-12-31,85651.0,41.99,59.99,30.005000833472245,1,1,0,310
2023-01-01,89723.0,41.99,59.99,30.005000833472245,1,1,1,311
2023-01-02,91801.0,41.99,59.99,30.005000833472245,1,0,1,312
2023-01-03,86631.0,41.99,59.99,30.005000833472245,1,0,0,313
