Date,Avg_Player,Log_Player,Lag_Player,Discount_Ratio,Base_Price,Is_Weekend,Is_Holiday,Years_Since_Release,Trend_Index,Log_Twitch_Avg,Is_Major_Update,Is_Minor_Update
2023-01-01,89723.0,11.404493570787915,11.358047854326108,0.30005000833472245,59.99,1,1,0.852054794520548,0.2,0.0,0,0
2023-01-02,91801.0,11.427389362863634,11.404493570787915,0.30005000833472245,59.99,0,1,0.8547945205479452,0.2,0.0,0,0
2023-01-03,86631.0,11.369424541308215,11.427389362863634,0.30005000833472245,59.99,0,0,0.8575342465753425,0.2,0.0,0,0
2023-01-04,88742.0,11.393499830987569,11.369424541308215,0.30005000833472245,59.99,0,0,0.8602739726027397,0.2,0.0,0,0
2023-01-05,88151.0,11.386817876167614,11.393499830987569,0.0,59.99,0,0,0.863013698630137,0.2,0.0,0,0
2023-01-06,93457.0,11.445267416496234,11.386817876167614,0.0,59.99,0,0,0.8657534246575342,0.2,0.0,0,0
2023-01-07,104312.0,11.555151273682098,11.445267416496234,0.0,59.99,1,0,0.8684931506849315,0.2,0.0,0,0
2023-01-08,106913.0,11.57978005195547,11.555151273682098,0.0,59.99,1,0,0.8712328767123287,0.2,0.0,0,0
2023-01-09,81045.0,11.302772173694263,11.57978005195547,0.0,59.99,0,0,0.873972602739726,0.2,0.0,0,0
2023-01-10,79276.0,11.280703327722811,11.302772173694263,0.0,59.99,0,0,0.8767123287671232,0.2,0.0,0,0
2023-01-11,77078.0,11.252586148910154,11.280703327722811,0.0,59.99,0,0,0.8794520547945206,0.2,0.0,0,0
2023-01-12,73768.0,11.208693868140543,11.252586148910154,0.0,59.99,0,0,0.8821917808219178,0.2,0.0,0,0
2023-01-13,78714.0,11.27358901344873,11.208693868140543,0.0,59.99,0,0,0.8849315068493151,0.2,0.0,0,0
2023-01-14,95550.0,11.467415415338404,11.27358901344873,0.0,59.99,1,0,0.8876712328767123,0.2,0.0,0,0
2023-01-15,97376.0,11.486345322114884,11.467415415338404,0.0,59.99,1,0,0.8904109589041096,0.2,0.0,0,0
2023-01-16,76399.0,11.243737975154612,11.486345322114884,0.0,59.99,0,1,0.8931506849315068,0.2,0.0,0,0
2023-01-17,70212.0,11.159288758054428,11.243737975154612,0.0,59.99,0,0,0.8958904109589041,0.2,0.0,0,0
2023-01-18,68175.0,11.129847875739694,11.159288758054428,0.0,59.99,0,0,0.8986301369863013,0.2,0.0,0,0
2023-01-19,67643.0,11.122013937869575,11.129847875739694,0.0,59.99,0,0,0.9013698630136986,0.2,0.0,0,0
2023-01-20,69985.0,11.15605050102883,11.122013937869575,0.0,59.99,0,0,0.9041095890410958,0.2,0.0,0,0
2023-01-21,84579.0,11.34545311102648,11.15605050102883,0.0,59.99,1,0,0.9068493150684932,0.2,0.0,0,0
2023-01-22,87848.0,11.383374710511184,11.34545311102648,0.0,59.99,1,0,0.9095890410958904,0.2,0.0,0,0
2023-01-23,65610.0,11.091498643801799,11.383374710511184,0.0,59.99,0,0,0.9123287671232877,0.2,0.0,0,0
2023-01-24,64303.0,11.071377116688982,11.091498643801799,0.0,59.99,0,0,0.915068493150685,0.2,0.0,0,0
2023-01-25,64506.0,11.074529024027004,11.071377116688982,0.0,59.99,0,0,0.9178082191780822,0.2,0.0,0,0
2023-01-26,63756.0,11.062834260914231,11.074529024027004,0.0,59.99,0,0,0.9205479452054794,0.2,0.0,0,0
2023-01-27,67368.0,11.117940250442434,11.062834260914231,0.0,59.99,0,0,0.9232876712328767,0.2,0.0,0,0
2023-01-28,83035.0,11.327029527682685,11.117940250442434,0.0,59.99,1,0,0.9260273972602739,0.2,0.0,0,0
2023-01-29,85483.0,11.356084502910083,11.327029527682685,0.0,59.99,1,0,0.9287671232876712,0.2,0.0,0,0
2023-01-30,62487.0,11.042729817290134,11.356084502910083,0.0,59.99,0,0,0.9315068493150684,0.2,0.0,0,0
2023-01-31,62378.0,11.040983959254204,11.042729817290134,0.0,59.99,0,0,0.9342465753424658,0.2,0.0,0,0
2023-02-01,61693.0,11.029941960432327,11.040983959254204,0.0,59.99,0,0,0.936986301369863,0.15,0.0,0,0
2023-02-02,60643.0,11.012775981201472,11.029941960432327,0.0,59.99,0,0,0.9397260273972603,0.15,0.0,0,0
2023-02-03,66203.0,11.10049616306043,11.012775981201472,0.0,59.99,0,0,0.9424657534246575,0.15,0.0,0,0
2023-02-04,80705.0,11.298568200936636,11.10049616306043,0.0,59.99,1,0,0.9452054794520548,0.15,0.0,0,0
2023-02-05,82173.0,11.316594229307174,11.298568200936636,0.0,59.99,1,0,0.947945205479452,0.15,0.0,0,0
2023-02-06,60131.0,11.004297424747724,11.316594229307174,0.0,59.99,0,0,0.9506849315068493,0.15,0.0,0,0
2023-02-07,57738.0,10.96368813405067,11.004297424747724,0.0,59.99,0,0,0.9534246575342465,0.15,0.0,0,0
2023-02-08,56027.0,10.933606844758938,10.96368813405067,0.0,59.99,0,0,0.9561643835616438,0.15,0.0,0,0
2023-02-09,55346.0,10.921377736125875,10.933606844758938,0.0,59.99,0,0,0.958904109589041,0.15,0.0,0,0
2023-02-10,59413.0,10.992285167815846,10.921377736125875,0.0,59.99,0,0,0.9616438356164384,0.15,0.0,0,0
2023-02-11,72846.0,11.196116630267518,10.992285167815846,0.0,59.99,1,0,0.9643835616438357,0.15,0.0,0,0
2023-02-12,74140.0,11.213723964609445,11.196116630267518,0.0,59.99,1,0,0.9671232876712329,0.15,0.0,0,0
2023-02-13,56082.0,10.934588015284797,11.213723964609445,0.0,59.99,0,0,0.9698630136986301,0.15,0.0,0,0
2023-02-14,53496.0,10.887380856545494,10.934588015284797,0.0,59.99,0,0,0.9726027397260274,0.15,0.0,0,0
2023-02-15,53869.0,10.894329015674579,10.887380856545494,0.0,59.99,0,0,0.9753424657534246,0.15,0.0,0,0
2023-02-16,53763.0,10.892359377191038,10.894329015674579,0.0,59.99,0,0,0.9780821917808219,0.15,0.0,0,0
